location,season,temp_max_mean,temp_max_median,temp_max_std,temp_max_95p,temp_max_above_30_pct,temp_max_above_35_pct,temp_min_mean,temp_min_median,temp_min_std,temp_min_5p,temp_min_below_10_pct,temp_min_below_5_pct,temp_range_mean,temp_range_median,temp_range_std,temp_range_above_10_pct,temp_range_above_15_pct,temp_range_above_20_pct,gdd_total,gdd_mean_daily,rh_max_mean,rh_max_std,rh_min_mean,rh_min_std,rh_range_mean,rh_range_std,high_humidity_pct,low_humidity_pct,vpd_upper_mean,vpd_lower_mean,vpd_middle_mean,vpd_stressed_pct,vpd_recovery_risk_pct,total_rainfall,rainfall_mean,rainy_days_pct,heavy_rain_days_pct,max_consecutive_no_rain_days,rain_intensity_index,thi_mean,thi_std,thi_95p,thi_5p,thi_mild_pct,thi_moderate_pct,wind_speed_mean,wind_speed_std,calm_days_pct,S_SE_pct,N_NW_pct,W_NW_pct,S_SW_pct,N_NE_pct
Bogura,2021S1,27.183567374785515,26.8,4.028706613516872,33.0,0.22916666666666666,0.010416666666666666,16.14577251335351,15.7,4.2076202837053405,10.65,0.010416666666666666,0.0,11.037794861432006,12.15,3.1030161228875732,0.6875,0.020833333333333332,0.0,1119.8083146306733,11.664669944069514,92.91255158075155,4.650571594461822,50.666344990181244,15.777593235259532,42.24620659057031,13.88163223059662,0.96875,0.020833333333333332,1.8707382452154946,0.13796812079586088,1.0043531830056778,0.6979166666666666,0.0,48.0,0.5,0.020833333333333332,0.010416666666666666,93,24.0,68.88942412073813,5.842099727661615,79.9013125,59.6635,0.23958333333333334,0.052083333333333336,1.8437307564958945,1.1325498644338043,0.677,0.13541666666666666,0.8645833333333334,0.0,0.0,0.0
Bogura,2021S2,31.41816056576031,31.9,3.9968794781682093,36.555,0.6666666666666666,0.18888888888888888,19.289380341880342,20.4,4.723055099210171,10.67,0.03333333333333333,0.0,12.128780223879966,12.85,2.3163819144200364,0.8111111111111111,0.07777777777777778,0.0,1381.8393408438294,15.353770453820326,84.92403782151857,8.366929788144246,37.472880856083584,12.691643793968078,47.45115696543498,11.796939053407801,0.5777777777777777,0.3333333333333333,2.977061268899341,0.3678609569961588,1.6724611129477498,0.9111111111111111,0.06666666666666667,20.0,0.2222222222222222,0.044444444444444446,0.0,139,5.0,73.27580782573857,5.9468642716340785,81.15870000000001,61.287924999999994,0.5333333333333333,0.08888888888888889,2.8656869369369367,1.528860422942162,0.333,0.03333333333333333,0.5222222222222223,0.4444444444444444,0.0,0.0
Bogura,2021S3,33.19278350515464,33.5,2.225573307350658,36.13999999999999,0.9175257731958762,0.1958762886597938,25.7319587628866,26.0,1.8857219214265024,21.8,0.0,0.0,7.460824742268041,7.299999999999997,2.2865347098571327,0.1134020618556701,0.0,0.0,1887.85,19.462371134020618,91.8659793814433,4.647196435261139,64.29896907216495,12.587332379265941,27.567010309278352,10.178518245647348,0.9484536082474226,0.0,1.8823341621087386,0.27076157203158024,1.0765478670701594,0.7010309278350515,0.010309278350515464,963.0,9.927835051546392,0.5773195876288659,0.1958762886597938,8,17.196428571428573,81.67744329896907,2.4889246220195687,84.7064,76.91040000000001,0.21649484536082475,0.7835051546391752,3.9804123711340207,2.0710624877532533,0.134,0.0,0.0,0.35051546391752575,0.6494845360824743,0.0
Bogura,2021S4,33.36479141375124,33.55,1.8657921877738934,36.0,0.9390243902439024,0.17073170731707318,26.369609201773837,26.5,0.8145217543380644,25.0,0.0,0.0,6.995182211977406,7.1,1.8022284384642238,0.036585365853658534,0.0,0.0,1629.1104252365283,19.86720030776254,92.99546900607346,3.389617760648307,65.51029055098088,9.515368517885396,27.48517845509257,8.558966565577611,0.9634146341463414,0.0,1.818585201837005,0.24140872662839757,1.0299969642327012,0.7317073170731707,0.0,671.5,8.189024390243903,0.524390243902439,0.15853658536585366,5,15.616279069767442,82.50654341718436,1.325026928598791,84.45255,80.08385,0.036585365853658534,0.9634146341463414,3.4503560599353724,2.300725705482561,0.232,0.0,0.0,0.0,1.0,0.0
Bogura,2022S1,27.667708333333334,27.5,3.217861165814358,32.4,0.3020833333333333,0.0,16.148958333333333,15.5,3.600672299553506,11.475,0.010416666666666666,0.010416666666666666,11.518749999999999,11.7,2.410560646733234,0.7708333333333334,0.020833333333333332,0.010416666666666666,1143.2,11.908333333333333,90.96875,5.314237332021656,48.625,9.76486720744053,42.34375,9.496623361129888,0.8541666666666666,0.0,1.9599066932638551,0.172245013321759,1.066075853292807,0.7708333333333334,0.0,24.0,0.25,0.052083333333333336,0.0,45,4.8,69.11969791666667,4.722403367810855,77.68712500000001,63.152375,0.3541666666666667,0.0,1.8979166666666665,1.5148374355488943,0.656,0.0,0.4375,0.0,0.09375,0.46875
Bogura,2022S2,30.449679012345676,32.3,4.736925981628714,36.0,0.6111111111111112,0.08888888888888889,19.07,19.25,5.497179051849223,10.2,0.03333333333333333,0.0,11.379679012345678,11.45,2.868017117694596,0.6444444444444445,0.07777777777777778,0.0,1328.3855555555556,14.75983950617284,88.80508351488744,5.231701692016313,47.567320962702354,15.705921185540248,41.23776255218508,13.861207147278884,0.8333333333333334,0.15555555555555556,2.336408269912679,0.2609228207979578,1.2986655453553184,0.8666666666666667,0.011111111111111112,144.0,1.6,0.08888888888888889,0.03333333333333333,53,18.0,73.3534010677559,7.678432743762333,83.42280000000001,61.1597375,0.23333333333333334,0.32222222222222224,3.1228840443819346,2.4022525572551925,0.333,0.0,1.0,0.0,0.0,0.0
Bogura,2022S3,33.64366889962175,34.0,1.971905334982165,36.29257142857143,0.9484536082474226,0.20618556701030927,25.707664721717812,26.2,2.2837450333415807,21.971542013081052,0.0,0.0,7.936004177903942,7.899999999999999,2.4943018284589447,0.15463917525773196,0.020618556701030927,0.0,1908.539680634969,19.675666810669785,91.17525773195877,3.6286197711111807,64.6082474226804,9.714204270284364,26.567010309278352,8.211916159478815,0.9175257731958762,0.0,1.8846342496414121,0.29392448971268387,1.089279369677048,0.7319587628865979,0.0,869.0,8.958762886597938,0.422680412371134,0.14432989690721648,12,21.195121951219512,81.99533454990434,2.499515506849221,84.929,77.22800000000001,0.16494845360824742,0.8350515463917526,2.6608247422680416,1.4094588723034014,0.34,0.0,0.41237113402061853,0.0,0.5876288659793815,0.0
Bogura,2022S4,33.28966400336417,33.5,1.650454447443138,35.394999999999996,0.9634146341463414,0.08536585365853659,26.28240548780488,26.5,1.3205306316538739,24.0,0.0,0.0,7.007258515559294,6.997599137931031,1.7602458540426047,0.07317073170731707,0.0,0.0,1622.454849137931,19.786034745584523,92.44935138689623,4.074571357798983,64.82045731707318,9.407036169541884,27.62889406982305,7.928502929601175,0.9146341463414634,0.0,1.837669365826448,0.2595502936470065,1.0486098297367275,0.7317073170731707,0.0,573.0,6.987804878048781,0.45121951219512196,0.08536585365853659,8,15.486486486486486,82.28893589806837,1.6459767962021266,84.359025,79.22965,0.0975609756097561,0.9024390243902439,2.842819778696126,1.762479465165149,0.329,0.0,0.0,0.07317073170731707,0.926829268292683,0.0
Cumilla,2021S1,28.274560283597285,28.1,3.0060365703591705,33.425,0.3229166666666667,0.0,16.40313583056778,15.45,4.529671033476251,10.575,0.0,0.0,11.871424453029503,12.399999999999999,3.385700047724141,0.75,0.15625,0.0,1184.5294134799233,12.338848057082535,97.30592971842971,2.499857220624787,48.70807022706552,13.105593593551728,48.5978594913642,13.338812425876997,0.9895833333333334,0.010416666666666666,1.9953543810409886,0.054941775390162845,1.0251480782155757,0.84375,0.0,188.0,1.9583333333333333,0.0625,0.03125,65,31.333333333333332,70.14158225995489,5.527182286209672,80.08531249999999,63.2226875,0.23958333333333334,0.07291666666666667,1.423915638754589,1.010772475527393,0.844,0.13541666666666666,0.8645833333333334,0.0,0.0,0.0
Cumilla,2021S2,31.74011121855382,32.35558916977483,3.4172152340580038,36.0,0.7555555555555555,0.12222222222222222,18.993743425378042,20.3,5.171153205814636,10.635,0.044444444444444446,0.011111111111111112,12.74636779317578,13.299999999999997,3.6910837937510186,0.7111111111111111,0.28888888888888886,0.011111111111111112,1383.0234589769339,15.366927321965932,95.26160667709964,3.1059178139189303,42.904502219687295,13.148644217443003,52.35710445741234,13.26939659718889,0.9888888888888889,0.18888888888888888,2.7272482711046626,0.1152940539304102,1.4212711625175363,0.9111111111111111,0.0,4.0,0.044444444444444446,0.022222222222222223,0.0,145,2.0,74.3113954761248,6.099202200672314,81.53825,62.5005875,0.4666666666666667,0.2,2.595731244881245,2.151521723643304,0.5,0.03333333333333333,0.5222222222222223,0.4444444444444444,0.0,0.0
